Date,Event Description,AM Peak - Late,AM Peak - Canceled,AM Peak - Terminated,PM Peak - Late,PM Peak - Canceled,PM Peak - Terminated,Off Peak - Late,Off Peak - Canceled,Off Peak - Terminated
9/30/2025,Vehicle on tracks - Far Rockaway Branch,0,0,0,3,1,2,3,0,2
9/30/2025,Vehicle on tracks - Hempstead Branch,0,0,0,1,0,2,4,0,8
9/28/2025,Ryder Cup loading system wide,0,0,0,0,0,0,10,0,0
9/27/2025,Ryder Cup loading system wide,0,0,0,0,0,0,13,0,0
9/26/2025,Ryder Cup loading system wide,0,0,0,0,0,0,19,0,0
9/19/2025,Amtrak related - TOL in Line 3,0,0,0,17,1,0,14,0,0
9/18/2025,Loss of Supervisory - F Interlocking,0,0,0,0,0,0,10,0,0
9/11/2025,NO. 1966 Trespasser strike - Merritts Road,0,0,0,6,2,1,9,0,0
9/10/2025,Amtrak related - Metal debris on tracks in Line 4,9,0,7,0,0,0,7,0,4
9/9/2025,Amtrak related - Metal debris on tracks in Line 4,34,2,11,0,0,0,18,1,0
9/8/2025,Broken rail at Lindenhurst,4,4,0,0,0,0,13,0,0
9/6/2025,Crossing restriction,0,0,0,0,0,0,10,0,0
8/29/2025,Event loading - US Open,0,0,0,8,0,0,10,0,0
8/28/2025,Amtrak related - track condition in C interlocking,0,0,0,0,0,0,31,0,0
8/28/2025,Event loading - US Open,0,0,0,11,0,0,6,0,0
8/27/2025,Event loading - US Open,0,0,0,7,0,0,6,0,0
8/26/2025,Power lines across the tracks between Hicksville and Huntington,4,2,4,0,0,0,7,1,16
8/22/2025,Equipment trouble in Line 3,0,0,0,33,5,14,21,8,7
8/19/2025,Line-4 Hold,14,0,0,0,0,0,0,0,0
8/14/2025,Amtrak related - track condition in C interlocking,0,0,0,1,0,0,15,0,0
8/8/2025,Forest Hills concert loading,0,0,0,8,0,0,10,0,0
8/7/2025,Police activity at Freeport,0,0,0,8,1,2,7,0,0
8/7/2025,Equipment trouble NO.67,0,0,0,0,0,0,12,0,0
8/6/2025,Bad IJ on Mainline 3 at Woodside,0,0,0,0,0,0,18,0,0
